Thetas,H1_empty,B2_empty,FWHM_empty
0.000000000000000000e+00,5.686999999999999318e+02,2.681734620598017926e+01,2.213000000000000114e+02
5.562422744128554114e-02,5.686999999999999318e+02,2.681733046012470467e+01,2.213000000000000114e+02
1.112484548825710823e-01,5.686999999999999318e+02,2.681728322252892127e+01,2.213000000000000114e+02
1.668726823238566304e-01,5.686999999999999318e+02,2.681720449310482479e+01,2.213000000000000114e+02
2.224969097651421646e-01,5.686999999999999318e+02,2.681709427170570947e+01,2.213000000000000114e+02
2.781211372064277265e-01,5.686999999999999318e+02,2.681695255812615741e+01,2.213000000000000114e+02
3.337453646477132607e-01,5.686999999999999318e+02,2.681677935210199237e+01,2.213000000000000114e+02
3.893695920889987949e-01,5.686999999999999318e+02,2.681657465331028334e+01,2.213000000000000114e+02
4.449938195302843291e-01,5.686999999999999318e+02,2.681633846136920951e+01,2.213000000000000114e+02
5.006180469715698633e-01,5.686999999999999318e+02,2.681607077583807452e+01,2.213000000000000114e+02
5.562422744128554530e-01,5.686999999999999318e+02,2.681577159621721762e+01,2.211999999999999886e+02
6.118665018541409317e-01,5.686999999999999318e+02,2.681544092194789641e+01,2.211999999999999886e+02
6.674907292954265214e-01,5.686999999999999318e+02,2.681507875241225847e+01,2.211999999999999886e+02
7.231149567367120001e-01,5.686999999999999318e+02,2.681468508693319208e+01,2.211999999999999886e+02
7.787391841779975898e-01,5.686999999999999318e+02,2.681425992477423037e+01,2.211999999999999886e+02
8.343634116192830685e-01,5.686999999999999318e+02,2.681380326513945889e+01,2.211999999999999886e+02
8.899876390605686582e-01,5.686999999999999318e+02,2.681331510717333089e+01,2.211999999999999886e+02
9.456118665018542480e-01,5.686999999999999318e+02,2.681279544996063180e+01,2.211999999999999886e+02
1.001236093943139727e+00,5.686999999999999318e+02,2.681224429252619501e+01,1.281999999999999886e+02
1.056860321384425205e+00,5.686999999999999318e+02,2.681166163383486989e+01,1.281999999999999886e+02
1.112484548825710906e+00,5.686999999999999318e+02,2.681104747279127309e+01,1.281999999999999886e+02
1.168108776266996385e+00,5.686999999999999318e+02,2.681040180823967134e+01,1.281999999999999886e+02
