Family,Species,Area,Sex
Nymphalidae,Morpho achilles,M2,M
Nymphalidae,Morpho aegea,M2,M
Nymphalidae,Morpho amathonte,M2,M
Nymphalidae,Morpho aurora,M2,M
Nymphalidae,Morpho cissis phanodemus,M2,M
Nymphalidae,Morpho cypris,M2,M
Nymphalidae,Morpho deidamia,M2,F
Nymphalidae,Morpho godartii anarpai,M2,M
Nymphalidae,Morpho godartii ossarpai,M2,M
Nymphalidae,Morpho marcus,M2,M
Nymphalidae,Morpho menelaus coeruleus,M2,M
Nymphalidae,Morpho portis thamyris,M2,M
Nymphalidae,Morpho rhetenor,M2,M
Nymphalidae,Morpho sulkowskyi,M2,M
Nymphalidae,Morpho zephyris,M2,M
Papilionidae,Papilio paris,CuA1,M
Papilionidae,Papilio ulysses,M2,M
Trochilidae,Aglaeactis_cupripennis,Back,M
Trochilidae,Aglaiocercus_kingi,Back,M
Trochilidae,Amazilia_tzacatl,Back,M
Trochilidae,Amazilia_tzacatl,Throat,M
Trochilidae,Anthracothorax_viridigula,Back,M
Trochilidae,Anthracothorax_viridigula,Throat,M
Trochilidae,Archilochus_colubris,Throat,M
Trochilidae,Boissonneaua_matthewsii,Back,M
Trochilidae,Boissonneaua_matthewsii,Throat,M
Trochilidae,Campylopterus_hemileucurus,Rump,M
Trochilidae,Campylopterus_hemileucurus,Throat,M
Trochilidae,Chaetocercus_mulsant,Back,M
Trochilidae,Chaetocercus_mulsant,Throat,M
Trochilidae,Chlorestes_notata,Back,M
Trochilidae,Chrysolampis_mosquitus,Crown,M
Trochilidae,Chrysolampis_mosquitus,Throat,M
Trochilidae,Chrysuronia_oenone,Back,M
Trochilidae,Chrysuronia_oenone,Throat,M
Trochilidae,Clytolaema_rubricauda,Back,M
Trochilidae,Clytolaema_rubricauda,Throat,M
Trochilidae,Coeligena_torquata,Back,M
Trochilidae,Coeligena_torquata,Crown,M
Trochilidae,Colibri_coruscans,Back,M
Trochilidae,Colibri_coruscans,Throat,M
Trochilidae,Eriocnemis_vestita,Back,M
Trochilidae,Eriocnemis_vestita,Belly,M
Trochilidae,Eriocnemis_vestita,Throat,M
Trochilidae,Eulampis_jugularis,Throat,M
Trochilidae,Eulampis_jugularis,Undertail,M
Trochilidae,Florisuga_mellivora,Back,M
Trochilidae,Florisuga_mellivora,Throat,M
Trochilidae,Glaucis_hirsutus,Back,M
Trochilidae,Heliangelus_exortis,Back,M
Trochilidae,Heliangelus_exortis,Throat,M
Trochilidae,Heliangelus_strophianus,Back,M
Trochilidae,Heliangelus_strophianus,Throat,M
Trochilidae,Heliodoxa_leadbeateri,Back,M
Trochilidae,Heliodoxa_leadbeateri,Crown,M
Trochilidae,Heliodoxa_leadbeateri,Throat,M
Trochilidae,Heliomaster_furcifer,Back,M
Trochilidae,Heliomaster_furcifer,Breast,M
Trochilidae,Heliomaster_furcifer,Throat,M
Trochilidae,Lampornis_clemenciae,Back,M
Trochilidae,Lampornis_clemenciae,Throat,M
Trochilidae,Lamprolaima_rhami,Back,M
Trochilidae,Lamprolaima_rhami,Breast,M
Trochilidae,Lamprolaima_rhami,Throat,M
Trochilidae,Lesbia_victoriae,Back,M
Trochilidae,Lesbia_victoriae,Throat,M
Trochilidae,Lophornis_ornatus,Throat,M
Trochilidae,Metallura_tyrianthina,Back,M
Trochilidae,Metallura_tyrianthina,Throat,M
Trochilidae,Ocreatus_underwoodii,Throat,M
Trochilidae,Oreotrochilus_chimborazo,Back,M
Trochilidae,Oreotrochilus_chimborazo,Nape,M
Trochilidae,Orthorhyncus_cristatus,Back,M
Trochilidae,Orthorhyncus_cristatus,Crown,M
Trochilidae,Patagona_gigas,Back,M
Trochilidae,Phaethornis_guy,Back,M
Trochilidae,Ramphomicron_microrhynchum,Back,M
Trochilidae,Ramphomicron_microrhynchum,Throat,M
Trochilidae,Selasphorus_rufus,Throat,M
Trochilidae,Thalurania_furcata,Back,M
Trochilidae,Thalurania_furcata,Throat,M
Trochilidae,Urosticte_benjamini,Collier,M
Trochilidae,Urosticte_benjamini,Throat,M
Trochilidae,Chlorestes_notata,Throat,M
Trochilidae,Colibri_coruscans,Ear,M
Trochilidae,Lophornis_ornatus,Back,M
