Thetas,B2_hollow_5layers_80nm,B2_hollow_10layers_100nm,B2_full_10layers_80nm,B2_hollow_10layers_70-80-60-80nm
0,0.211731932,0.2107148941,0.0819118848,0.1660941539
0.0559045226,0.2117318189,0.2107147866,0.0819118532,0.166094064
0.1118090452,0.2117314794,0.2107144642,0.0819117586,0.1660937943
0.1677135678,0.2117309136,0.2107139268,0.0819116009,0.1660933448
0.2236180905,0.2117301215,0.2107131745,0.0819113801,0.1660927155
0.2795226131,0.2117291031,0.2107122073,0.0819110963,0.1660919064
0.3354271357,0.2117278584,0.2107110252,0.0819107493,0.1660909176
0.3913316583,0.2117263874,0.2107096281,0.0819103393,0.166089749
0.4472361809,0.2117246902,0.2107080161,0.0819098662,0.1660884006
0.5031407035,0.2117227667,0.2107061893,0.0819093299,0.1660868724
0.5590452261,0.211720617,0.2107041475,0.0819087306,0.1660851645
0.6149497487,0.2117182411,0.2107018909,0.0819080682,0.1660832768
0.6708542714,0.211715639,0.2106994195,0.0819073426,0.1660812095
0.726758794,0.2117128107,0.2106967332,0.081906554,0.1660789624
0.7826633166,0.2117097564,0.2106938321,0.0819057021,0.1660765356
0.8385678392,0.2117064759,0.2106907162,0.0819047872,0.1660739291
0.8944723618,0.2117029694,0.2106873855,0.0819038091,0.166071143
0.9503768844,0.2116992368,0.2106838401,0.0819027679,0.1660681772
1.006281407,0.2116952783,0.21068008,0.0819016634,0.1660650318
1.0621859296,0.2116910938,0.2106761052,0.0819004958,0.1660617068
1.1180904523,0.2116866834,0.2106719157,0.0818992651,0.1660582021
1.1739949749,0.2116820471,0.2106675116,0.0818979711,0.166054518
1.2298994975,0.2116771851,0.2106628929,0.0818966139,0.1660506542
1.2858040201,0.2116720972,0.2106580597,0.0818951934,0.166046611
1.3417085427,0.2116667837,0.2106530119,0.0818937097,0.1660423883
1.3976130653,0.2116612445,0.2106477496,0.0818921628,0.1660379861
1.4535175879,0.2116554797,0.2106422728,0.0818905526,0.1660334044
1.5094221106,0.2116494893,0.2106365817,0.0818888791,0.1660286434
1.5653266332,0.2116432735,0.2106306761,0.0818871423,0.1660237029
1.6212311558,0.2116368322,0.2106245563,0.0818853422,0.1660185832
1.6771356784,0.2116301656,0.2106182221,0.0818834787,0.1660132841
1.733040201,0.2116232738,0.2106116737,0.0818815519,0.1660078057
1.7889447236,0.2116161566,0.2106049111,0.0818795617,0.1660021481
1.8448492462,0.2116088144,0.2105979343,0.0818775082,0.1659963112
1.9007537688,0.2116012471,0.2105907435,0.0818753912,0.1659902952
1.9566582915,0.2115934547,0.2105833386,0.0818732107,0.1659841
2.0125628141,0.2115854375,0.2105757197,0.0818709669,0.1659777258
2.0684673367,0.2115771954,0.2105678868,0.0818686595,0.1659711724
2.1243718593,0.2115687286,0.2105598401,0.0818662886,0.1659644401
2.1802763819,0.2115600371,0.2105515795,0.0818638543,0.1659575287
2.2361809045,0.2115511211,0.2105431052,0.0818613563,0.1659504385
2.2920854271,0.2115419805,0.2105344171,0.0818587948,0.1659431693
2.3479899497,0.2115326155,0.2105255154,0.0818561698,0.1659357212
2.4038944724,0.2115230263,0.2105164001,0.0818534811,0.1659280944
2.459798995,0.2115132128,0.2105070713,0.0818507287,0.1659202888
2.5157035176,0.2115031752,0.210497529,0.0818479127,0.1659123045
2.5716080402,0.2114929136,0.2104877733,0.081845033,0.1659041415
2.6275125628,0.2114824281,0.2104778043,0.0818420896,0.1658957998
2.6834170854,0.2114717188,0.210467622,0.0818390824,0.1658872796
2.739321608,0.2114607859,0.2104572266,0.0818360115,0.1658785809
2.7952261307,0.2114496293,0.210446618,0.0818328767,0.1658697037
2.8511306533,0.2114382492,0.2104357964,0.0818296782,0.1658606481
2.9070351759,0.2114266458,0.2104247618,0.0818264157,0.1658514141
2.9629396985,0.2114148192,0.2104135143,0.0818230894,0.1658420018
3.0188442211,0.2114027694,0.2104020539,0.0818196992,0.1658324113
3.0747487437,0.2113904967,0.2103903809,0.081816245,0.1658226425
3.1306532663,0.211378001,0.2103784951,0.0818127268,0.1658126955
3.1865577889,0.2113652826,0.2103663968,0.0818091446,0.1658025705
3.2424623116,0.2113523415,0.210354086,0.0818054984,0.1657922675
3.2983668342,0.211339178,0.2103415627,0.081801788,0.1657817864
3.3542713568,0.211325792,0.2103288271,0.0817980136,0.1657711274
3.4101758794,0.2113121839,0.2103158793,0.081794175,0.1657602906
3.466080402,0.2112983536,0.2103027192,0.0817902723,0.1657492759
3.5219849246,0.2112843013,0.2102893471,0.0817863053,0.1657380835
3.5778894472,0.2112700273,0.210275763,0.0817822741,0.1657267134
3.6337939698,0.2112555315,0.210261967,0.0817781787,0.1657151657
3.6896984925,0.2112408142,0.2102479592,0.0817740189,0.1657034404
3.7456030151,0.2112258755,0.2102337396,0.0817697947,0.1656915376
3.8015075377,0.2112107155,0.2102193084,0.0817655062,0.1656794574
3.8574120603,0.2111953344,0.2102046656,0.0817611532,0.1656671998
3.9133165829,0.2111797324,0.2101898114,0.0817567358,0.1656547648
3.9692211055,0.2111639095,0.2101747458,0.0817522539,0.1656421527
4.0251256281,0.211147866,0.210159469,0.0817477075,0.1656293633
4.0810301508,0.2111316021,0.210143981,0.0817430965,0.1656163968
4.1369346734,0.2111151177,0.2101282819,0.0817384209,0.1656032532
4.192839196,0.2110984132,0.2101123718,0.0817336806,0.1655899327
4.2487437186,0.2110814887,0.2100962509,0.0817288757,0.1655764352
4.3046482412,0.2110643444,0.2100799192,0.081724006,0.1655627609
4.3605527638,0.2110469804,0.2100633768,0.0817190716,0.1655489098
4.4164572864,0.2110293968,0.2100466238,0.0817140723,0.1655348819
4.472361809,0.211011594,0.2100296604,0.0817090083,0.1655206774
4.5282663317,0.2109935719,0.2100124866,0.0817038793,0.1655062963
4.5841708543,0.2109753309,0.2099951025,0.0816986854,0.1654917386
4.6400753769,0.210956871,0.2099775082,0.0816934266,0.1654770045
4.6959798995,0.2109381925,0.2099597039,0.0816881028,0.165462094
4.7518844221,0.2109192955,0.2099416896,0.0816827139,0.1654470072
4.8077889447,0.2109001803,0.2099234654,0.08167726,0.1654317441
4.8636934673,0.2108808469,0.2099050315,0.0816717409,0.1654163048
4.9195979899,0.2108612957,0.209886388,0.0816661567,0.1654006895
4.9755025126,0.2108415267,0.2098675349,0.0816605072,0.165384898
5.0314070352,0.2108215402,0.2098484724,0.0816547926,0.1653689306
5.0873115578,0.2108013363,0.2098292006,0.0816490126,0.1653527872
5.1432160804,0.2107809153,0.2098097196,0.0816431673,0.165336468
5.199120603,0.2107602773,0.2097900294,0.0816372567,0.1653199731
5.2550251256,0.2107394225,0.2097701303,0.0816312806,0.1653033024
5.3109296482,0.2107183512,0.2097500223,0.0816252391,0.165286456
5.3668341709,0.2106970635,0.2097297055,0.0816191321,0.1652694341
5.4227386935,0.2106755596,0.20970918,0.0816129595,0.1652522367
5.4786432161,0.2106538398,0.2096884459,0.0816067214,0.1652348638
5.5345477387,0.2106319041,0.2096675035,0.0816004177,0.1652173156
5.5904522613,0.210609753,0.2096463526,0.0815940483,0.165199592
5.6463567839,0.2105873864,0.2096249936,0.0815876132,0.1651816932
5.7022613065,0.2105648047,0.2096034264,0.0815811124,0.1651636192
5.7581658291,0.2105420081,0.2095816512,0.0815745458,0.1651453701
