Thetas,H1_hollow_10layers_70-80-60-80nm,H1_full_10layers_80nm
0,431.3,497.8
0.0559045226,431.3,497.8
0.1118090452,431.3,497.8
0.1677135678,431.3,497.8
0.2236180905,431.3,497.8
0.2795226131,431.3,497.8
0.3354271357,431.3,497.8
0.3913316583,431.3,497.8
0.4472361809,431.3,497.8
0.5031407035,431.3,497.8
0.5590452261,431.3,497.8
0.6149497487,431.3,497.8
0.6708542714,431.3,497.8
0.726758794,431.3,497.8
0.7826633166,431.3,497.8
0.8385678392,431.3,497.8
0.8944723618,431.3,497.8
0.9503768844,431.3,497.8
1.006281407,431.3,497.8
1.0621859296,431.3,497.8
1.1180904523,431.3,497.8
1.1739949749,431.3,497.8
1.2298994975,431.3,497.8
1.2858040201,431.3,497.7
1.3417085427,431.3,497.7
1.3976130653,431.3,497.7
1.4535175879,431.3,497.7
1.5094221106,431.3,497.7
1.5653266332,431.3,497.7
1.6212311558,431.3,497.7
1.6771356784,431.2,497.7
1.733040201,431.2,497.7
1.7889447236,431.2,497.7
1.8448492462,431.2,497.7
1.9007537688,431.2,497.7
1.9566582915,431.2,497.7
2.0125628141,431.2,497.7
2.0684673367,431.2,497.7
2.1243718593,431.2,497.7
2.1802763819,431.2,497.7
2.2361809045,431.2,497.7
2.2920854271,431.2,497.7
2.3479899497,431.2,497.6
2.4038944724,431.2,497.6
2.459798995,431.2,497.6
2.5157035176,431.2,497.6
2.5716080402,431.2,497.6
2.6275125628,431.1,497.6
2.6834170854,431.1,497.6
2.739321608,431.1,497.6
2.7952261307,431.1,497.6
2.8511306533,431.1,497.6
2.9070351759,431.1,497.6
2.9629396985,431.1,497.6
3.0188442211,431.1,497.6
3.0747487437,431.1,497.5
3.1306532663,431.1,497.5
3.1865577889,431.1,497.5
3.2424623116,431.1,497.5
3.2983668342,431,497.5
3.3542713568,431,497.5
3.4101758794,431,497.5
3.466080402,431,497.5
3.5219849246,431,497.5
3.5778894472,431,497.5
3.6337939698,431,497.4
3.6896984925,431,497.4
3.7456030151,431,497.4
3.8015075377,431,497.4
3.8574120603,430.9,497.4
3.9133165829,430.9,497.4
3.9692211055,430.9,497.4
4.0251256281,430.9,497.4
4.0810301508,430.9,497.4
4.1369346734,430.9,497.3
4.192839196,430.9,497.3
4.2487437186,430.9,497.3
4.3046482412,430.8,497.3
4.3605527638,430.8,497.3
4.4164572864,430.8,497.3
4.472361809,430.8,497.3
4.5282663317,430.8,497.3
4.5841708543,430.8,497.2
4.6400753769,430.8,497.2
4.6959798995,430.8,497.2
4.7518844221,430.7,497.2
4.8077889447,430.7,497.2
4.8636934673,430.7,497.2
4.9195979899,430.7,497.2
4.9755025126,430.7,497.2
5.0314070352,430.7,497.1
5.0873115578,430.7,497.1
5.1432160804,430.6,497.1
5.199120603,430.6,497.1
5.2550251256,430.6,497.1
5.3109296482,430.6,497.1
5.3668341709,430.6,497
5.4227386935,430.6,497
5.4786432161,430.6,497
5.5345477387,430.5,497
5.5904522613,430.5,497
5.6463567839,430.5,497
5.7022613065,430.5,497
5.7581658291,430.5,496.9
5.8140703518,430.5,496.9
5.8699748744,430.4,496.9
5.925879397,430.4,496.9
5.9817839196,430.4,496.9
6.0376884422,430.4,496.9
6.0935929648,430.4,496.8
6.1494974874,430.4,496.8
6.2054020101,430.3,496.8
6.2613065327,430.3,496.8
6.3172110553,430.3,496.8
6.3731155779,430.3,496.7
6.4290201005,430.3,496.7
6.4849246231,430.2,496.7
6.5408291457,430.2,496.7
6.5967336683,430.2,496.7
6.652638191,430.2,496.7
6.7085427136,430.2,496.6
6.7644472362,430.2,496.6
6.8203517588,430.1,496.6
6.8762562814,430.1,496.6
6.932160804,430.1,496.6
6.9880653266,430.1,496.5
7.0439698492,430.1,496.5
7.0998743719,430,496.5
7.1557788945,430,496.5
7.2116834171,430,496.5
7.2675879397,430,496.4
7.3234924623,430,496.4
7.3793969849,429.9,496.4
7.4353015075,429.9,496.4
7.4912060302,429.9,496.3
7.5471105528,429.9,496.3
7.6030150754,429.8,496.3
7.658919598,429.8,496.3
7.7148241206,429.8,496.3
7.7707286432,429.8,496.2
7.8266331658,429.8,496.2
7.8825376884,429.7,496.2
7.9384422111,429.7,496.2
7.9943467337,429.7,496.1
8.0502512563,429.7,496.1
8.1061557789,429.6,496.1
8.1620603015,429.6,496.1
8.2179648241,429.6,496.1
8.2738693467,429.6,496
8.3297738693,429.6,496
8.385678392,429.5,496
8.4415829146,429.5,496
8.4974874372,429.5,495.9
